job_id,employer_id,job_title,job_location,posted_date
1,7,Frontend Developer,Bangalore,2025-10-04
2,10,BI Analyst,Kolkata,2025-10-18
3,1,Frontend Developer,Noida,2026-07-02
4,7,Power BI Developer,Chennai,2026-06-26
5,12,Frontend Developer,Ahmedabad,2025-09-27
6,6,Machine Learning Engineer,Noida,2025-11-12
7,6,SQL Developer,Hyderabad,2025-09-11
8,14,Data Scientist,Kolkata,2026-03-16
9,8,Software Engineer,Noida,2026-07-09
10,11,Business Analyst,Chennai,2025-10-05
11,4,Power BI Developer,Gurugram,2026-06-12
12,16,SQL Developer,Pune,2025-11-27
13,18,Frontend Developer,Delhi,2026-04-04
14,3,SQL Developer,Chennai,2026-05-12
15,4,Software Engineer,Pune,2025-10-06
16,15,Data Engineer,Pune,2026-01-02
17,15,Data Scientist,Kolkata,2026-04-07
18,14,Python Developer,Hyderabad,2026-04-10
19,7,Business Analyst,Chennai,2026-06-28
20,12,BI Analyst,Delhi,2025-10-09
21,16,Backend Developer,Noida,2026-06-11
22,13,Machine Learning Engineer,Kolkata,2025-11-23
23,3,Business Analyst,Gurugram,2026-08-02
24,13,Software Engineer,Ahmedabad,2026-05-11
25,4,Frontend Developer,Gurugram,2026-06-24
26,3,SQL Developer,Bangalore,2026-05-10
27,11,Data Scientist,Ahmedabad,2025-11-26
28,13,Business Analyst,Bangalore,2025-10-10
29,14,Frontend Developer,Chennai,2026-02-25
30,9,Frontend Developer,Ahmedabad,2025-12-01
31,19,Python Developer,Hyderabad,2025-10-29
32,12,Machine Learning Engineer,Ahmedabad,2026-02-01
33,13,Machine Learning Engineer,Kolkata,2026-08-15
34,9,BI Analyst,Chennai,2025-09-11
35,4,Business Analyst,Pune,2025-12-15
36,16,Machine Learning Engineer,Bangalore,2026-04-23
37,5,Data Analyst,Noida,2026-04-05
38,2,Business Analyst,Chennai,2025-09-21
39,1,BI Analyst,Hyderabad,2025-12-02
40,20,Backend Developer,Mumbai,2025-10-14
41,5,Python Developer,Ahmedabad,2025-11-14
42,20,Business Analyst,Noida,2026-07-19
43,17,Machine Learning Engineer,Chennai,2025-10-01
44,7,Python Developer,Chennai,2026-07-14
45,16,Power BI Developer,Pune,2026-06-30
46,18,SQL Developer,Kolkata,2026-01-24
47,18,Data Analyst,Delhi,2026-06-02
48,14,Business Analyst,Hyderabad,2025-12-19
49,15,SQL Developer,Hyderabad,2026-01-05
50,15,Machine Learning Engineer,Delhi,2026-01-23
51,2,BI Analyst,Kolkata,2026-05-11
52,10,Frontend Developer,Gurugram,2026-03-19
53,16,Software Engineer,Gurugram,2025-10-29
54,10,Frontend Developer,Hyderabad,2025-09-30
55,16,Business Analyst,Ahmedabad,2025-12-17
56,16,Backend Developer,Kolkata,2026-06-03
57,18,Data Engineer,Chennai,2026-06-26
58,16,Power BI Developer,Gurugram,2025-09-08
59,17,Data Analyst,Hyderabad,2026-08-07
60,9,Machine Learning Engineer,Ahmedabad,2026-04-13
61,13,Data Engineer,Mumbai,2026-02-06
62,10,SQL Developer,Delhi,2025-12-09
63,1,Data Engineer,Delhi,2026-07-03
64,5,SQL Developer,Mumbai,2025-09-23
65,19,Data Analyst,Mumbai,2025-09-15
66,13,Business Analyst,Hyderabad,2025-12-08
67,12,SQL Developer,Hyderabad,2026-05-13
68,12,Data Analyst,Bangalore,2025-08-27
69,8,Data Scientist,Pune,2025-12-09
70,19,Business Analyst,Noida,2026-02-25
71,10,Business Analyst,Mumbai,2026-04-21
72,6,Data Analyst,Kolkata,2025-09-21
73,11,Data Analyst,Chennai,2026-03-25
74,14,Data Engineer,Kolkata,2025-11-27
75,14,Python Developer,Delhi,2025-10-12
76,16,Data Engineer,Delhi,2026-07-11
77,11,Software Engineer,Ahmedabad,2025-11-29
78,13,SQL Developer,Ahmedabad,2025-10-14
79,4,Machine Learning Engineer,Noida,2026-07-10
80,7,SQL Developer,Chennai,2026-08-07
81,17,Backend Developer,Mumbai,2026-02-24
82,6,Data Engineer,Pune,2026-05-01
83,12,Software Engineer,Bangalore,2026-03-28
84,16,Backend Developer,Noida,2025-10-02
85,18,Data Scientist,Pune,2026-05-20
86,9,Data Analyst,Pune,2025-09-22
87,19,Software Engineer,Bangalore,2026-03-21
88,20,Frontend Developer,Noida,2026-03-22
89,19,Business Analyst,Ahmedabad,2026-03-01
90,11,Python Developer,Noida,2026-02-21
91,19,Power BI Developer,Chennai,2025-12-01
92,14,Data Scientist,Mumbai,2026-06-22
93,3,Backend Developer,Pune,2026-06-03
94,17,Python Developer,Hyderabad,2026-01-18
95,18,SQL Developer,Bangalore,2026-01-14
96,14,Software Engineer,Pune,2026-01-25
97,20,Power BI Developer,Chennai,2026-07-08
98,18,BI Analyst,Delhi,2026-01-09
99,17,BI Analyst,Ahmedabad,2026-06-04
100,16,Data Scientist,Chennai,2026-03-09
101,9,Backend Developer,Kolkata,2025-11-17
102,20,Software Engineer,Ahmedabad,2026-04-09
103,2,Power BI Developer,Bangalore,2025-09-09
104,12,Machine Learning Engineer,Gurugram,2025-10-18
105,8,BI Analyst,Pune,2026-03-11
106,14,Software Engineer,Mumbai,2026-07-04
107,3,Backend Developer,Bangalore,2025-11-19
108,14,Python Developer,Pune,2026-01-24
109,6,Python Developer,Ahmedabad,2026-07-25
110,8,Software Engineer,Bangalore,2025-08-28
111,4,BI Analyst,Bangalore,2025-10-10
